CableId, Panel Id, Description, Location, Room, Affl, Dest Rack Id, CableId, Qty, Keystone
A001, AV851, SHOW RELAY MICROPHONE, AUDITORIUM, G16, ON ORCH BAR, ER401, A001, 1, 1
A002, BS217, TECH PANEL, WORKSHOP G35, , 1200, ER401, A002, 2, 2
A003, BS217, TECH PANEL, WORKSHOP G35, , 1200, ER401, A003, 2, 3
A004, BS218, TECH PANEL, SCENE DOCK G24, , 500, ER401, A004, 2, 4
A005, BS218, TECH PANEL, SCENE DOCK G24, , 500, ER401, A005, 2, 5
A006, FB201, FLOORBOXES, STAGE, G15, 0, ER401, A006, 4, 6
A007, FB201, FLOORBOXES, STAGE, G15, 0, ER401, A007, 4, 7
A008, FB201, FLOORBOXES, STAGE, G15, 0, ER401, A008, 4, 8
A009, FB201, FLOORBOXES, STAGE, G15, 0, ER401, A009, 4, 9
A010, FB202, FLOORBOXES, STAGE, G15, 0, ER401, A010, 4, 10
A011, FB202, FLOORBOXES, STAGE, G15, 0, ER401, A011, 4, 11
A012, FB202, FLOORBOXES, STAGE, G15, 0, ER401, A012, 4, 12
A013, FB202, FLOORBOXES, STAGE, G15, 0, ER401, A013, 4, 13
A014, FB203, FLOORBOXES, STAGE, G15, 0, ER401, A014, 4, 14
A015, FB203, FLOORBOXES, STAGE, G15, 0, ER401, A015, 4, 15
A016, FB203, FLOORBOXES, STAGE, G15, 0, ER401, A016, 4, 16
A017, FB203, FLOORBOXES, STAGE, G15, 0, ER401, A017, 4, 17
A018, FB204, FLOORBOXES, STAGE, G15, 0, ER401, A018, 4, 18
A019, FB204, FLOORBOXES, STAGE, G15, 0, ER401, A019, 4, 19
A020, FB204, FLOORBOXES, STAGE, G15, 0, ER401, A020, 4, 20
A021, FB204, FLOORBOXES, STAGE, G15, 0, ER401, A021, 4, 21
A022, FB205, FLOORBOXES, STAGE, G15, 0, ER401, A022, 4, 22
A023, FB205, FLOORBOXES, STAGE, G15, 0, ER401, A023, 4, 23
A024, FB205, FLOORBOXES, STAGE, G15, 0, ER401, A024, 4, 24
A025, FB205, FLOORBOXES, STAGE, G15, 0, ER401, A025, 4, 1
A026, FB206, FLOORBOXES, STAGE, G15, 0, ER401, A026, 4, 2
A027, FB206, FLOORBOXES, STAGE, G15, 0, ER401, A027, 4, 3
A028, FB206, FLOORBOXES, STAGE, G15, 0, ER401, A028, 4, 4
A029, FB206, FLOORBOXES, STAGE, G15, 0, ER401, A029, 4, 5
A030, FB207, FLOORBOXES, STAGE, G15, 0, ER401, A030, 4, 6
A031, FB207, FLOORBOXES, STAGE, G15, 0, ER401, A031, 4, 7
A032, FB207, FLOORBOXES, STAGE, G15, 0, ER401, A032, 4, 8
A033, FB207, FLOORBOXES, STAGE, G15, 0, ER401, A033, 4, 9
A034, FB208, FLOORBOXES, STAGE, G15, 0, ER401, A034, 4, 10
A035, FB208, FLOORBOXES, STAGE, G15, 0, ER401, A035, 4, 11
A036, FB208, FLOORBOXES, STAGE, G15, 0, ER401, A036, 4, 12
A037, FB208, FLOORBOXES, STAGE, G15, 0, ER401, A037, 4, 13
A038, FB251, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A038, 4, 14
A039, FB251, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A039, 4, 15
A040, FB251, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A040, 4, 16
A041, FB251, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A041, 4, 17
A042, FB252, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A042, 4, 18
A043, FB252, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A043, 4, 19
A044, FB252, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A044, 4, 20
A045, FB252, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A045, 4, 21
A046, FB253, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A046, 4, 22
A047, FB253, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A047, 4, 23
A048, FB253, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A048, 4, 24
A049, FB253, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A049, 4, 1
A050, FB254, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A050, 4, 2
A051, FB254, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A051, 4, 3
A052, FB254, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A052, 4, 4
A053, FB254, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A053, 4, 5
A054, FB255, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A054, 4, 6
A055, FB255, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A055, 4, 7
A056, FB255, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A056, 4, 8
A057, FB255, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A057, 4, 9
A058, FB256, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A058, 4, 10
A059, FB256, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A059, 4, 11
A060, FB256, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A060, 4, 12
A061, FB256, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A061, 4, 13
A062, FB257, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A062, 4, 14
A063, FB257, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A063, 4, 15
A064, FB257, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A064, 4, 16
A065, FB257, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A065, 4, 17
A066, FB258, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A066, 4, 18
A067, FB258, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A067, 4, 19
A068, FB258, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A068, 4, 20
A069, FB258, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A069, 4, 21
A070, FB259, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A070, 4, 22
A071, FB259, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A071, 4, 23
A072, FB259, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A072, 4, 24
A073, FB259, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A073, 4, 1
A074, LX801, LX BAR, STAGE, G15, CEILING, ER401, A074, 3, 2
A075, LX801, LX BAR, STAGE, G15, CEILING, ER401, A075, 3, 3
A076, LX801, LX BAR, STAGE, G15, CEILING, ER401, A076, 3, 4
A077, LX802, LX BAR, STAGE, G15, CEILING, ER401, A077, 3, 5
A078, LX802, LX BAR, STAGE, G15, CEILING, ER401, A078, 3, 6
A079, LX802, LX BAR, STAGE, G15, CEILING, ER401, A079, 3, 7
A080, LX803, LX BAR, STAGE, G15, CEILING, ER401, A080, 3, 8
A081, LX803, LX BAR, STAGE, G15, CEILING, ER401, A081, 3, 9
A082, LX803, LX BAR, STAGE, G15, CEILING, ER401, A082, 3, 10
A083, LX804, LX BAR, STAGE, G15, CEILING, ER401, A083, 3, 11
A084, LX804, LX BAR, STAGE, G15, CEILING, ER401, A084, 3, 12
A085, LX804, LX BAR, STAGE, G15, CEILING, ER401, A085, 3, 13
A086, LX851, LX BAR (ORCH), AUDITORIUM, G16, CEILING, ER401, A086, 3, 14
A087, LX851, LX BAR (ORCH), AUDITORIUM, G16, CEILING, ER401, A087, 3, 15
A088, LX851, LX BAR (ORCH), AUDITORIUM, G16, CEILING, ER401, A088, 3, 16
A089, LX861, LX BAR, CABLE NET, , ON CABLENET PICKUPS, ER401, A089, 3, 17
A090, LX861, LX BAR, CABLE NET, , ON CABLENET PICKUPS, ER401, A090, 3, 18
A091, LX861, LX BAR, CABLE NET, , ON CABLENET PICKUPS, ER401, A091, 3, 19
A092, LX862, LX BAR, CABLE NET, , ON CABLENET PICKUPS, ER401, A092, 3, 20
A093, LX862, LX BAR, CABLE NET, , ON CABLENET PICKUPS, ER401, A093, 3, 21
A094, LX862, LX BAR, CABLE NET, , ON CABLENET PICKUPS, ER401, A094, 3, 22
