CableId, Panel Id, Description, Location, Room, Affl, Dest Rack Id, CableId, Qty, Keystone
A385, BS217, TECH PANEL, WORKSHOP G35, , 1200, ER401, A385, 2, 1
A386, BS217, TECH PANEL, WORKSHOP G35, , 1200, ER401, A386, 2, 2
A387, BS218, TECH PANEL, SCENE DOCK G24, , 500, ER401, A387, 2, 3
A388, BS218, TECH PANEL, SCENE DOCK G24, , 500, ER401, A388, 2, 4
A389, FB201, FLOORBOXES, STAGE, G15, 0, ER401, A389, 2, 5
A390, FB201, FLOORBOXES, STAGE, G15, 0, ER401, A390, 2, 6
A391, FB202, FLOORBOXES, STAGE, G15, 0, ER401, A391, 2, 7
A392, FB202, FLOORBOXES, STAGE, G15, 0, ER401, A392, 2, 8
A393, FB203, FLOORBOXES, STAGE, G15, 0, ER401, A393, 2, 9
A394, FB203, FLOORBOXES, STAGE, G15, 0, ER401, A394, 2, 10
A395, FB204, FLOORBOXES, STAGE, G15, 0, ER401, A395, 2, 11
A396, FB204, FLOORBOXES, STAGE, G15, 0, ER401, A396, 2, 12
A397, FB205, FLOORBOXES, STAGE, G15, 0, ER401, A397, 2, 13
A398, FB205, FLOORBOXES, STAGE, G15, 0, ER401, A398, 2, 14
A399, FB206, FLOORBOXES, STAGE, G15, 0, ER401, A399, 2, 15
A400, FB206, FLOORBOXES, STAGE, G15, 0, ER401, A400, 2, 16
A401, FB207, FLOORBOXES, STAGE, G15, 0, ER401, A401, 2, 17
A402, FB207, FLOORBOXES, STAGE, G15, 0, ER401, A402, 2, 18
A403, FB208, FLOORBOXES, STAGE, G15, 0, ER401, A403, 2, 19
A404, FB208, FLOORBOXES, STAGE, G15, 0, ER401, A404, 2, 20
A405, FB251, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A405, 2, 21
A406, FB251, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A406, 2, 22
A407, FB252, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A407, 2, 23
A408, FB252, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A408, 2, 24
A409, FB253, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A409, 2, 1
A410, FB253, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A410, 2, 2
A411, FB254, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A411, 2, 3
A412, FB254, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A412, 2, 4
A413, FB255, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A413, 2, 5
A414, FB255, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A414, 2, 6
A415, FB256, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A415, 2, 7
A416, FB256, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A416, 2, 8
A417, FB257, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A417, 2, 9
A418, FB257, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A418, 2, 10
A419, FB258, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A419, 2, 11
A420, FB258, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A420, 2, 12
A421, FB259, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A421, 2, 13
A422, FB259, FLOORBOXES, AUDITORIUM, G16, 0, ER401, A422, 2, 14
A423, LX801, LX BAR, STAGE, G15, CEILING, ER401, A423, 3, 15
A424, LX801, LX BAR, STAGE, G15, CEILING, ER401, A424, 3, 16
A425, LX801, LX BAR, STAGE, G15, CEILING, ER401, A425, 3, 17
A426, LX802, LX BAR, STAGE, G15, CEILING, ER401, A426, 3, 18
A427, LX802, LX BAR, STAGE, G15, CEILING, ER401, A427, 3, 19
A428, LX802, LX BAR, STAGE, G15, CEILING, ER401, A428, 3, 20
A429, LX803, LX BAR, STAGE, G15, CEILING, ER401, A429, 3, 21
A430, LX803, LX BAR, STAGE, G15, CEILING, ER401, A430, 3, 22
A431, LX803, LX BAR, STAGE, G15, CEILING, ER401, A431, 3, 23
A432, LX804, LX BAR, STAGE, G15, CEILING, ER401, A432, 3, 24
A433, LX804, LX BAR, STAGE, G15, CEILING, ER401, A433, 3, 1
A434, LX804, LX BAR, STAGE, G15, CEILING, ER401, A434, 3, 2
A435, LX851, LX BAR (ORCH), AUDITORIUM, G16, CEILING, ER401, A435, 3, 3
A436, LX851, LX BAR (ORCH), AUDITORIUM, G16, CEILING, ER401, A436, 3, 4
A437, LX851, LX BAR (ORCH), AUDITORIUM, G16, CEILING, ER401, A437, 3, 5
A438, LX861, LX BAR, CABLE NET, , ON CABLENET PICKUPS, ER401, A438, 3, 6
A439, LX861, LX BAR, CABLE NET, , ON CABLENET PICKUPS, ER401, A439, 3, 7
A440, LX861, LX BAR, CABLE NET, , ON CABLENET PICKUPS, ER401, A440, 3, 8
A441, LX862, LX BAR, CABLE NET, , ON CABLENET PICKUPS, ER401, A441, 3, 9
A442, LX862, LX BAR, CABLE NET, , ON CABLENET PICKUPS, ER401, A442, 3, 10
A443, LX862, LX BAR, CABLE NET, , ON CABLENET PICKUPS, ER401, A443, 3, 11
A444, LX863, LX BAR, CABLE NET, , ON CABLENET PICKUPS, ER401, A444, 3, 12
A445, LX863, LX BAR, CABLE NET, , ON CABLENET PICKUPS, ER401, A445, 3, 13
A446, LX863, LX BAR, CABLE NET, , ON CABLENET PICKUPS, ER401, A446, 3, 14
A447, SX451, SPEAKER, LEVEL 1 BALCONY, , ON BAR, ER401, A447, 2, 15
A448, SX451, SPEAKER, LEVEL 1 BALCONY, , ON BAR, ER401, A448, 2, 16
A449, SX452, SPEAKER, LEVEL 1 BALCONY, , ON BAR, ER401, A449, 2, 17
A450, SX452, SPEAKER, LEVEL 1 BALCONY, , ON BAR, ER401, A450, 2, 18
A451, SX851A, SPEAKER (ARRAY), AUDITORIUM, G16, CEILING, ER401, A451, 4, 19
A452, SX851A, SPEAKER (ARRAY), AUDITORIUM, G16, CEILING, ER401, A452, 4, 20
A453, SX851A, SPEAKER (ARRAY), AUDITORIUM, G16, CEILING, ER401, A453, 4, 21
A454, SX851A, SPEAKER (ARRAY), AUDITORIUM, G16, CEILING, ER401, A454, 4, 22
A455, SX851B, SPEAKER (SUBS), AUDITORIUM, G16, CEILING, ER401, A455, 4, 23
A456, SX851B, SPEAKER (SUBS), AUDITORIUM, G16, CEILING, ER401, A456, 4, 24
A457, SX851B, SPEAKER (SUBS), AUDITORIUM, G16, CEILING, ER401, A457, 4, 1
A458, SX851B, SPEAKER (SUBS), AUDITORIUM, G16, CEILING, ER401, A458, 4, 2
A459, SX852, SPEAKER, AUDITORIUM, G16, CEILING, ER401, A459, 4, 3
A460, SX852, SPEAKER, AUDITORIUM, G16, CEILING, ER401, A460, 4, 4
A461, SX852, SPEAKER, AUDITORIUM, G16, CEILING, ER401, A461, 4, 5
A462, SX852, SPEAKER, AUDITORIUM, G16, CEILING, ER401, A462, 4, 6
A463, SX853, SPEAKER, AUDITORIUM, G16, CEILING, ER401, A463, 4, 7
A464, SX853, SPEAKER, AUDITORIUM, G16, CEILING, ER401, A464, 4, 8
A465, SX853, SPEAKER, AUDITORIUM, G16, CEILING, ER401, A465, 4, 9
A466, SX853, SPEAKER, AUDITORIUM, G16, CEILING, ER401, A466, 4, 10
A467, SX854, SPEAKER, AUDITORIUM, G16, CEILING, ER401, A467, 4, 11
A468, SX854, SPEAKER, AUDITORIUM, G16, CEILING, ER401, A468, 4, 12
A469, SX854, SPEAKER, AUDITORIUM, G16, CEILING, ER401, A469, 4, 13
A470, SX854, SPEAKER, AUDITORIUM, G16, CEILING, ER401, A470, 4, 14
A471, SX855A, SPEAKER (ARRAY), AUDITORIUM, G16, CEILING, ER401, A471, 4, 15
A472, SX855A, SPEAKER (ARRAY), AUDITORIUM, G16, CEILING, ER401, A472, 4, 16
A473, SX855A, SPEAKER (ARRAY), AUDITORIUM, G16, CEILING, ER401, A473, 4, 17
A474, SX855A, SPEAKER (ARRAY), AUDITORIUM, G16, CEILING, ER401, A474, 4, 18
A475, SX855B, SPEAKER (SUBS), AUDITORIUM, G16, CEILING, ER401, A475, 4, 19
A476, SX855B, SPEAKER (SUBS), AUDITORIUM, G16, CEILING, ER401, A476, 4, 20
A477, SX855B, SPEAKER (SUBS), AUDITORIUM, G16, CEILING, ER401, A477, 4, 21
A478, SX855B, SPEAKER (SUBS), AUDITORIUM, G16, CEILING, ER401, A478, 4, 22
A479, TP001, TECH PANEL, SUB STAGE, B01, 300, ER401, A479, 1, 23
A480, TP002, TECH PANEL, SUB STAGE, B01, 300, ER401, A480, 1, 24
A481, TP003, TECH PANEL, SUB STAGE, B01, 300, ER401, A481, 1, 1
A482, TP201A, TECH PANEL (SM Panel), PERF LOCK, G23, 300, ER401, A482, 1, 2
A483, TP202, TECH PANEL (SM Panel), STAGE, G15, 300, ER401, A483, 1, 3
A484, TP203, TECH PANEL, STAGE, G15, 300, ER401, A484, 2, 4
A485, TP203, TECH PANEL, STAGE, G15, 300, ER401, A485, 2, 5
A486, TP204, TECH PANEL, STAGE, G15, 300, ER401, A486, 2, 6
A487, TP204, TECH PANEL, STAGE, G15, 300, ER401, A487, 2, 7
A488, TP251, TECH PANEL, FORESTAGE, B02, 300, ER401, A488, 2, 8
A489, TP251, TECH PANEL, FORESTAGE, B02, 300, ER401, A489, 2, 9
A490, TP252, TECH PANEL, FORESTAGE, B02, 300, ER401, A490, 2, 10
A491, TP252, TECH PANEL, FORESTAGE, B02, 300, ER401, A491, 2, 11
A492, TP601, TECH PANEL, TECH (GALLERY), 218, 300, ER401, A492, 2, 12
A493, TP601, TECH PANEL, TECH (GALLERY), 218, 300, ER401, A493, 2, 13
A494, TP602, TECH PANEL, TECH (GALLERY), 219, 300, ER401, A494, 2, 14
A495, TP602, TECH PANEL, TECH (GALLERY), 219, 300, ER401, A495, 2, 15
A496, TP603, TECH PANEL, TECH (GALLERY), 218, 300, ER401, A496, 2, 16
A497, TP603, TECH PANEL, TECH (GALLERY), 218, 300, ER401, A497, 2, 17
A498, TP604, TECH PANEL, TECH (GALLERY), 219, 300, ER401, A498, 2, 18
