CableId, Panel Id, Description, Location, Room, Affl, Dest Rack Id, CableId, Qty, Keystone
AV001, AV202, AVCONTROL PANEL, STAGE, G15, 1100, ER401, AV001, 1, 1
AV002, AV451, PROJECTOR, AUDITORIUM, G16, SOFFIT, ER401, AV002, 1, 2
AV003, AV801, PROJECTION SCREEN, STAGE, G15, ON BAR, ER401, AV003, 1, 3
AV004, BS201, SCREEN, PRINC. DR. RM. 1 , G26, 2000, ER401, AV004, 1, 4
AV005, BS202, VOL CTRL, PRINC. DR. RM. 1 G26, , 1200, ER401, AV005, 1, 5
AV006, BS203, SCREEN, MULTI-PURPOSE RM/GREEG32, , 2000, ER401, AV006, 1, 6
AV007, BS204, VOL CTRL, MULTI-PURPOSE RM/GREEG32, , 1200, ER401, AV007, 1, 7
AV008, BS205, SCREEN, DR. RM. G39, , 2000, ER401, AV008, 1, 8
AV009, BS206, VOL CTRL, DR. RM. G39, , 1200, ER401, AV009, 1, 9
AV010, BS207, SCREEN, DR. RM. G29, , 2000, ER401, AV010, 1, 10
AV011, BS208, VOL CTRL, DR. RM. G29, , 1200, ER401, AV011, 1, 11
AV012, BS209, SCREEN, PRINC. DR. RM. 2 G20, , 2000, ER401, AV012, 1, 12
AV013, BS210, VOL CTRL, PRINC. DR. RM. 2 G20, , 1200, ER401, AV013, 1, 13
AV014, BS211, SCREEN, STAGE DOOR G41, , 2000, ER401, AV014, 1, 14
AV015, BS212, VOL CTRL, STAGE DOOR G41, , 1200, ER401, AV015, 1, 15
AV016, BS213, SCREEN, LOBBY G44, , 2000, ER401, AV016, 1, 16
AV017, BS214, SCREEN, SCENE DOCK G24, , 2500, ER401, AV017, 1, 17
AV018, BS215, SCREEN, WORKSHOP G35, , 2000, ER401, AV018, 1, 18
AV019, BS216, VOL CTRL, WORKSHOP G35, , 1200, ER401, AV019, 1, 19
AV020, BS217, TECH PANEL, WORKSHOP G35, , 1200, ER401, AV020, 1, 20
AV021, BS401, SCREEN, VENUE MAN. OFFICE 102, , 2000, ER401, AV021, 1, 21
AV022, BS402, TECH PANEL, VENUE MAN. OFFICE 102, , 1100, ER401, AV022, 1, 22
AV023, BS601, VOL CTRL, GUEST DRESS ROOM 212, , 1200, ER401, AV023, 1, 23
AV024, CR251, CONTROL FLOORBOX, AUDITORIUM, G16, 0, ER401, AV024, 2, 24
AV025, CR251, CONTROL FLOORBOX, AUDITORIUM, G16, 0, ER401, AV025, 2, 1
AV026, TP201A, TECH PANEL (SM Panel), PERF LOCK, G23, 300, ER401, AV026, 2, 2
AV027, TP201A, TECH PANEL (SM Panel), PERF LOCK, G23, 300, ER401, AV027, 2, 3
AV028, TP202, TECH PANEL (SM Panel), STAGE, G15, 300, ER401, AV028, 2, 4
AV029, TP202, TECH PANEL (SM Panel), STAGE, G15, 300, ER401, AV029, 2, 5
AV30, , SPARE, , , , , AV30, -1, 6
AV31, , SPARE, , , , , AV31, -1, 7
AV32, , SPARE, , , , , AV32, -1, 8
AV33, , SPARE, , , , , AV33, -1, 9
AV34, , SPARE, , , , , AV34, -1, 10
AV35, , SPARE, , , , , AV35, -1, 11
AV36, , SPARE, , , , , AV36, -1, 12
AV37, , SPARE, , , , , AV37, -1, 13
AV38, , SPARE, , , , , AV38, -1, 14
AV39, , SPARE, , , , , AV39, -1, 15
AV40, , SPARE, , , , , AV40, -1, 16
AV41, , SPARE, , , , , AV41, -1, 17
AV42, , SPARE, , , , , AV42, -1, 18
AV43, , SPARE, , , , , AV43, -1, 19
AV44, , SPARE, , , , , AV44, -1, 20
AV45, , SPARE, , , , , AV45, -1, 21
AV46, , SPARE, , , , , AV46, -1, 22
AV47, , SPARE, , , , , AV47, -1, 23
AV48, , SPARE, , , , , AV48, -1, 24
AV049, CN601, AV CONTROL, CONFERENCE 1, 206, 1100, ER601, AV049, 1, 1
AV050, CN651, AV CONTROL, CONFERENCE 2, 205, 1100, ER601, AV050, 1, 2
AV051, CN721A, PROJECTOR, CONFERENCE 1, 206, PIPE GRID, ER601, AV051, 1, 3
AV052, CN721B, PROJECTOR, CONFERENCE 1, 206, PIPE GRID, ER601, AV052, 1, 4
AV053, CN722, PROJECTION SCREEN, CONFERENCE 1, 206, PIPE GRID, ER601, AV053, 1, 5
