CableId, Panel Id, Description, Location, Room, Affl, Dest Rack Id, CableId, Qty, Keystone
DA001, BS217, TECH PANEL, WORKSHOP G35, , 1200, ER401, DA001, 2, 1
DA002, BS217, TECH PANEL, WORKSHOP G35, , 1200, ER401, DA002, 2, 2
DA003, BS218, TECH PANEL, SCENE DOCK G24, , 500, ER401, DA003, 2, 3
DA004, BS218, TECH PANEL, SCENE DOCK G24, , 500, ER401, DA004, 2, 4
DA005, BS402, TECH PANEL, VENUE MAN. OFFICE 102, , 1100, ER401, DA005, 1, 5
DA006, FB201, FLOORBOXES, STAGE, G15, 0, ER401, DA006, 2, 6
DA007, FB201, FLOORBOXES, STAGE, G15, 0, ER401, DA007, 2, 7
DA008, FB202, FLOORBOXES, STAGE, G15, 0, ER401, DA008, 2, 8
DA009, FB202, FLOORBOXES, STAGE, G15, 0, ER401, DA009, 2, 9
DA010, FB203, FLOORBOXES, STAGE, G15, 0, ER401, DA010, 2, 10
DA011, FB203, FLOORBOXES, STAGE, G15, 0, ER401, DA011, 2, 11
DA012, FB204, FLOORBOXES, STAGE, G15, 0, ER401, DA012, 2, 12
DA013, FB204, FLOORBOXES, STAGE, G15, 0, ER401, DA013, 2, 13
DA014, FB205, FLOORBOXES, STAGE, G15, 0, ER401, DA014, 2, 14
DA015, FB205, FLOORBOXES, STAGE, G15, 0, ER401, DA015, 2, 15
DA016, FB206, FLOORBOXES, STAGE, G15, 0, ER401, DA016, 2, 16
DA017, FB206, FLOORBOXES, STAGE, G15, 0, ER401, DA017, 2, 17
DA018, FB207, FLOORBOXES, STAGE, G15, 0, ER401, DA018, 2, 18
DA019, FB207, FLOORBOXES, STAGE, G15, 0, ER401, DA019, 2, 19
DA020, FB208, FLOORBOXES, STAGE, G15, 0, ER401, DA020, 2, 20
DA021, FB208, FLOORBOXES, STAGE, G15, 0, ER401, DA021, 2, 21
DA022, FB251, FLOORBOXES, AUDITORIUM, G16, 0, ER401, DA022, 2, 22
