CableId, Panel Id, Description, Location, Room, Affl, Dest Rack Id, CableId, Qty, Keystone
DM001, AV451, PROJECTOR, AUDITORIUM, G16, SOFFIT, ER401, DM001, 2, 1
DM002, AV451, PROJECTOR, AUDITORIUM, G16, SOFFIT, ER401, DM002, 2, 2
DM003, AV651, SHOW RELAY CAMERA, AUDITORIUM, G16, ON BAR, ER401, DM003, 1, 3
DM004, BS201, SCREEN, PRINC. DR. RM. 1 , G26, 2000, ER401, DM004, 1, 4
DM005, BS203, SCREEN, MULTI-PURPOSE RM/GREEG32, , 2000, ER401, DM005, 1, 5
DM006, BS205, SCREEN, DR. RM. G39, , 2000, ER401, DM006, 1, 6
DM007, BS207, SCREEN, DR. RM. G29, , 2000, ER401, DM007, 1, 7
DM008, BS209, SCREEN, PRINC. DR. RM. 2 G20, , 2000, ER401, DM008, 1, 8
DM009, BS211, SCREEN, STAGE DOOR G41, , 2000, ER401, DM009, 1, 9
DM010, BS213, SCREEN, LOBBY G44, , 2000, ER401, DM010, 1, 10
DM011, BS214, SCREEN, SCENE DOCK G24, , 2500, ER401, DM011, 1, 11
DM012, BS215, SCREEN, WORKSHOP G35, , 2000, ER401, DM012, 1, 12
DM013, BS217, TECH PANEL, WORKSHOP G35, , 1200, ER401, DM013, 2, 13
DM014, BS217, TECH PANEL, WORKSHOP G35, , 1200, ER401, DM014, 2, 14
DM015, BS218, TECH PANEL, SCENE DOCK G24, , 500, ER401, DM015, 2, 15
DM016, BS218, TECH PANEL, SCENE DOCK G24, , 500, ER401, DM016, 2, 16
DM017, BS401, SCREEN, VENUE MAN. OFFICE 102, , 2000, ER401, DM017, 1, 17
DM018, DIM601, DIMMER RACK, TECH, 220, 500, ER401, DM018, 1, 18
DM019, FB201, FLOORBOXES, STAGE, G15, 0, ER401, DM019, 2, 19
DM020, FB201, FLOORBOXES, STAGE, G15, 0, ER401, DM020, 2, 20
DM021, FB202, FLOORBOXES, STAGE, G15, 0, ER401, DM021, 2, 21
DM022, FB202, FLOORBOXES, STAGE, G15, 0, ER401, DM022, 2, 22
DM023, FB203, FLOORBOXES, STAGE, G15, 0, ER401, DM023, 2, 23
DM024, FB203, FLOORBOXES, STAGE, G15, 0, ER401, DM024, 2, 24
DM025, FB204, FLOORBOXES, STAGE, G15, 0, ER401, DM025, 2, 1
DM026, FB204, FLOORBOXES, STAGE, G15, 0, ER401, DM026, 2, 2
DM027, FB205, FLOORBOXES, STAGE, G15, 0, ER401, DM027, 2, 3
DM028, FB205, FLOORBOXES, STAGE, G15, 0, ER401, DM028, 2, 4
DM029, FB206, FLOORBOXES, STAGE, G15, 0, ER401, DM029, 2, 5
DM030, FB206, FLOORBOXES, STAGE, G15, 0, ER401, DM030, 2, 6
DM031, FB207, FLOORBOXES, STAGE, G15, 0, ER401, DM031, 2, 7
DM032, FB207, FLOORBOXES, STAGE, G15, 0, ER401, DM032, 2, 8
DM033, FB208, FLOORBOXES, STAGE, G15, 0, ER401, DM033, 2, 9
DM034, FB208, FLOORBOXES, STAGE, G15, 0, ER401, DM034, 2, 10
DM035, FB251, FLOORBOXES, AUDITORIUM, G16, 0, ER401, DM035, 2, 11
DM036, FB251, FLOORBOXES, AUDITORIUM, G16, 0, ER401, DM036, 2, 12
DM037, FB252, FLOORBOXES, AUDITORIUM, G16, 0, ER401, DM037, 2, 13
DM038, FB252, FLOORBOXES, AUDITORIUM, G16, 0, ER401, DM038, 2, 14
DM039, FB253, FLOORBOXES, AUDITORIUM, G16, 0, ER401, DM039, 2, 15
DM040, FB253, FLOORBOXES, AUDITORIUM, G16, 0, ER401, DM040, 2, 16
DM041, FB254, FLOORBOXES, AUDITORIUM, G16, 0, ER401, DM041, 2, 17
DM042, FB254, FLOORBOXES, AUDITORIUM, G16, 0, ER401, DM042, 2, 18
DM043, FB255, FLOORBOXES, AUDITORIUM, G16, 0, ER401, DM043, 2, 19
DM044, FB255, FLOORBOXES, AUDITORIUM, G16, 0, ER401, DM044, 2, 20
DM045, FB256, FLOORBOXES, AUDITORIUM, G16, 0, ER401, DM045, 2, 21
DM046, FB256, FLOORBOXES, AUDITORIUM, G16, 0, ER401, DM046, 2, 22
DM047, FB257, FLOORBOXES, AUDITORIUM, G16, 0, ER401, DM047, 2, 23
DM048, FB257, FLOORBOXES, AUDITORIUM, G16, 0, ER401, DM048, 2, 24
DM049, FB258, FLOORBOXES, AUDITORIUM, G16, 0, ER401, DM049, 2, 1
DM050, FB258, FLOORBOXES, AUDITORIUM, G16, 0, ER401, DM050, 2, 2
DM051, FB259, FLOORBOXES, AUDITORIUM, G16, 0, ER401, DM051, 2, 3
DM052, FB259, FLOORBOXES, AUDITORIUM, G16, 0, ER401, DM052, 2, 4
DM053, TP001, TECH PANEL, SUB STAGE, B01, 300, ER401, DM053, 1, 5
DM054, TP002, TECH PANEL, SUB STAGE, B01, 300, ER401, DM054, 1, 6
DM055, TP003, TECH PANEL, SUB STAGE, B01, 300, ER401, DM055, 1, 7
DM056, TP201A, TECH PANEL (SM Panel), PERF LOCK, G23, 300, ER401, DM056, 4, 8
DM057, TP201A, TECH PANEL (SM Panel), PERF LOCK, G23, 300, ER401, DM057, 4, 9
DM058, TP201A, TECH PANEL (SM Panel), PERF LOCK, G23, 300, ER401, DM058, 4, 10
DM059, TP201A, TECH PANEL (SM Panel), PERF LOCK, G23, 300, ER401, DM059, 4, 11
DM060, TP202, TECH PANEL (SM Panel), STAGE, G15, 300, ER401, DM060, 4, 12
DM061, TP202, TECH PANEL (SM Panel), STAGE, G15, 300, ER401, DM061, 4, 13
DM062, TP202, TECH PANEL (SM Panel), STAGE, G15, 300, ER401, DM062, 4, 14
DM063, TP202, TECH PANEL (SM Panel), STAGE, G15, 300, ER401, DM063, 4, 15
DM064, TP203, TECH PANEL, STAGE, G15, 300, ER401, DM064, 2, 16
DM065, TP203, TECH PANEL, STAGE, G15, 300, ER401, DM065, 2, 17
DM066, TP204, TECH PANEL, STAGE, G15, 300, ER401, DM066, 2, 18
DM067, TP204, TECH PANEL, STAGE, G15, 300, ER401, DM067, 2, 19
DM068, TP251, TECH PANEL, FORESTAGE, B02, 300, ER401, DM068, 2, 20
DM069, TP251, TECH PANEL, FORESTAGE, B02, 300, ER401, DM069, 2, 21
DM070, TP252, TECH PANEL, FORESTAGE, B02, 300, ER401, DM070, 2, 22
DM071, TP252, TECH PANEL, FORESTAGE, B02, 300, ER401, DM071, 2, 23
DM072, TP601, TECH PANEL, TECH (GALLERY), 218, 300, ER401, DM072, 2, 24
DM073, TP601, TECH PANEL, TECH (GALLERY), 218, 300, ER401, DM073, 2, 1
DM074, TP602, TECH PANEL, TECH (GALLERY), 219, 300, ER401, DM074, 2, 2
DM075, TP602, TECH PANEL, TECH (GALLERY), 219, 300, ER401, DM075, 2, 3
DM076, TP603, TECH PANEL, TECH (GALLERY), 218, 300, ER401, DM076, 2, 4
DM077, TP603, TECH PANEL, TECH (GALLERY), 218, 300, ER401, DM077, 2, 5
DM078, TP604, TECH PANEL, TECH (GALLERY), 219, 300, ER401, DM078, 2, 6
DM079, TP604, TECH PANEL, TECH (GALLERY), 219, 300, ER401, DM079, 2, 7
DM80, , SPARE, , , , , DM80, -1, 8
DM81, , SPARE, , , , , DM81, -1, 9
DM82, , SPARE, , , , , DM82, -1, 10
DM83, , SPARE, , , , , DM83, -1, 11
DM84, , SPARE, , , , , DM84, -1, 12
DM85, , SPARE, , , , , DM85, -1, 13
DM86, , SPARE, , , , , DM86, -1, 14
DM87, , SPARE, , , , , DM87, -1, 15
DM88, , SPARE, , , , , DM88, -1, 16
DM89, , SPARE, , , , , DM89, -1, 17
DM90, , SPARE, , , , , DM90, -1, 18
DM91, , SPARE, , , , , DM91, -1, 19
DM92, , SPARE, , , , , DM92, -1, 20
DM93, , SPARE, , , , , DM93, -1, 21
DM94, , SPARE, , , , , DM94, -1, 22
DM95, , SPARE, , , , , DM95, -1, 23
DM96, , SPARE, , , , , DM96, -1, 24
DM097, BR701, LIGHTING, BREAK OUT, 204, CEILING, ER601, DM097, 1, 1
DM098, BR702, LIGHTING, BREAK OUT, 204, CEILING, ER601, DM098, 1, 2
DM099, BR703, LIGHTING, BREAK OUT, 204, CEILING, ER601, DM099, 1, 3
DM100, BR704, LIGHTING, BREAK OUT, 204, CEILING, ER601, DM100, 1, 4
DM101, , SPARE, , , , , DM101, -1, 5
