CableId, Panel Id, Description, Location, Room, Affl, Dest Rack Id, CableId, Qty, Keystone
DMX001, FB201, FLOORBOXES, STAGE, G15, 0, ER401, DMX001, 1, 1
DMX002, FB202, FLOORBOXES, STAGE, G15, 0, ER401, DMX002, 1, 2
DMX003, FB203, FLOORBOXES, STAGE, G15, 0, ER401, DMX003, 1, 3
DMX004, FB204, FLOORBOXES, STAGE, G15, 0, ER401, DMX004, 1, 4
DMX005, FB205, FLOORBOXES, STAGE, G15, 0, ER401, DMX005, 1, 5
DMX006, FB206, FLOORBOXES, STAGE, G15, 0, ER401, DMX006, 1, 6
DMX007, FB207, FLOORBOXES, STAGE, G15, 0, ER401, DMX007, 1, 7
DMX008, FB208, FLOORBOXES, STAGE, G15, 0, ER401, DMX008, 1, 8
DMX009, FB251, FLOORBOXES, AUDITORIUM, G16, 0, ER401, DMX009, 1, 9
DMX010, FB252, FLOORBOXES, AUDITORIUM, G16, 0, ER401, DMX010, 1, 10
DMX011, FB253, FLOORBOXES, AUDITORIUM, G16, 0, ER401, DMX011, 1, 11
DMX012, FB254, FLOORBOXES, AUDITORIUM, G16, 0, ER401, DMX012, 1, 12
DMX013, FB255, FLOORBOXES, AUDITORIUM, G16, 0, ER401, DMX013, 1, 13
DMX014, FB256, FLOORBOXES, AUDITORIUM, G16, 0, ER401, DMX014, 1, 14
DMX015, FB257, FLOORBOXES, AUDITORIUM, G16, 0, ER401, DMX015, 1, 15
DMX016, FB258, FLOORBOXES, AUDITORIUM, G16, 0, ER401, DMX016, 1, 16
DMX017, FB259, FLOORBOXES, AUDITORIUM, G16, 0, ER401, DMX017, 1, 17
DMX018, LX451, LX BALCONY BAR, AUDITORIUM, G16, ON BAR, ER401, DMX018, 2, 18
DMX019, LX451, LX BALCONY BAR, AUDITORIUM, G16, ON BAR, ER401, DMX019, 2, 19
DMX020, LX452, LX BALCONY BAR, AUDITORIUM, G16, ON BAR, ER401, DMX020, 2, 20
DMX021, LX452, LX BALCONY BAR, AUDITORIUM, G16, ON BAR, ER401, DMX021, 2, 21
DMX022, LX453, LX BALCONY BAR, AUDITORIUM, G16, ON BAR, ER401, DMX022, 2, 22
DMX023, LX453, LX BALCONY BAR, AUDITORIUM, G16, ON BAR, ER401, DMX023, 2, 23
DMX024, LX454, LX BALCONY BAR, AUDITORIUM, G16, ON BAR, ER401, DMX024, 2, 24
DMX025, LX454, LX BALCONY BAR, AUDITORIUM, G16, ON BAR, ER401, DMX025, 2, 1
DMX026, LX651, LX BALCONY BAR, LEVEL 2 BALCONY, , ON BAR, ER401, DMX026, 2, 2
DMX027, LX651, LX BALCONY BAR, LEVEL 2 BALCONY, , ON BAR, ER401, DMX027, 2, 3
DMX028, LX652, LX BALCONY BAR, LEVEL 2 BALCONY, , ON BAR, ER401, DMX028, 2, 4
DMX029, LX652, LX BALCONY BAR, LEVEL 2 BALCONY, , ON BAR, ER401, DMX029, 2, 5
DMX030, LX653, LX BALCONY BAR, LEVEL 2 BALCONY, , ON BAR, ER401, DMX030, 2, 6
DMX031, LX653, LX BALCONY BAR, LEVEL 2 BALCONY, , ON BAR, ER401, DMX031, 2, 7
DMX032, LX654, LX BALCONY BAR, LEVEL 2 BALCONY, , ON BAR, ER401, DMX032, 2, 8
DMX033, LX654, LX BALCONY BAR, LEVEL 2 BALCONY, , ON BAR, ER401, DMX033, 2, 9
DMX034, LX655, LX BALCONY BAR, LEVEL 2 BALCONY, , ON BAR, ER401, DMX034, 2, 10
DMX035, LX655, LX BALCONY BAR, LEVEL 2 BALCONY, , ON BAR, ER401, DMX035, 2, 11
DMX036, LX656, LX BALCONY BAR, LEVEL 2 BALCONY, , ON BAR, ER401, DMX036, 2, 12
DMX037, LX656, LX BALCONY BAR, LEVEL 2 BALCONY, , ON BAR, ER401, DMX037, 2, 13
DMX038, SX251, SPEAKER - FRONT FILL, STAGE EDGE, , 1600, ER401, DMX038, 1, 14
DMX039, SX252, SPEAKER - FRONT FILL, STAGE EDGE, , 1600, ER401, DMX039, 1, 15
DMX040, SX253, SPEAKER - FRONT FILL, STAGE EDGE, , 1600, ER401, DMX040, 1, 16
DMX041, SX254, SPEAKER - FRONT FILL, STAGE EDGE, , 1600, ER401, DMX041, 1, 17
DMX042, SX255, SPEAKER - FRONT FILL, STAGE EDGE, , 1600, ER401, DMX042, 1, 18
DMX043, SX256, SPEAKER - FRONT FILL, STAGE EDGE, , 1600, ER401, DMX043, 1, 19
DMX044, SX451, SPEAKER, LEVEL 1 BALCONY, , ON BAR, ER401, DMX044, 2, 20
DMX045, SX451, SPEAKER, LEVEL 1 BALCONY, , ON BAR, ER401, DMX045, 2, 21
DMX046, SX452, SPEAKER, LEVEL 1 BALCONY, , ON BAR, ER401, DMX046, 2, 22
DMX047, SX452, SPEAKER, LEVEL 1 BALCONY, , ON BAR, ER401, DMX047, 2, 23
DMX048, SX851A, SPEAKER (ARRAY), AUDITORIUM, G16, CEILING, ER401, DMX048, 4, 24
DMX049, SX851A, SPEAKER (ARRAY), AUDITORIUM, G16, CEILING, ER401, DMX049, 4, 1
DMX050, SX851A, SPEAKER (ARRAY), AUDITORIUM, G16, CEILING, ER401, DMX050, 4, 2
DMX051, SX851A, SPEAKER (ARRAY), AUDITORIUM, G16, CEILING, ER401, DMX051, 4, 3
DMX052, SX851B, SPEAKER (SUBS), AUDITORIUM, G16, CEILING, ER401, DMX052, 2, 4
DMX053, SX851B, SPEAKER (SUBS), AUDITORIUM, G16, CEILING, ER401, DMX053, 2, 5
DMX054, SX852, SPEAKER, AUDITORIUM, G16, CEILING, ER401, DMX054, 4, 6
DMX055, SX852, SPEAKER, AUDITORIUM, G16, CEILING, ER401, DMX055, 4, 7
DMX056, SX852, SPEAKER, AUDITORIUM, G16, CEILING, ER401, DMX056, 4, 8
DMX057, SX852, SPEAKER, AUDITORIUM, G16, CEILING, ER401, DMX057, 4, 9
DMX058, SX853, SPEAKER, AUDITORIUM, G16, CEILING, ER401, DMX058, 4, 10
DMX059, SX853, SPEAKER, AUDITORIUM, G16, CEILING, ER401, DMX059, 4, 11
DMX060, SX853, SPEAKER, AUDITORIUM, G16, CEILING, ER401, DMX060, 4, 12
DMX061, SX853, SPEAKER, AUDITORIUM, G16, CEILING, ER401, DMX061, 4, 13
DMX062, SX854, SPEAKER, AUDITORIUM, G16, CEILING, ER401, DMX062, 4, 14
DMX063, SX854, SPEAKER, AUDITORIUM, G16, CEILING, ER401, DMX063, 4, 15
DMX064, SX854, SPEAKER, AUDITORIUM, G16, CEILING, ER401, DMX064, 4, 16
DMX065, SX854, SPEAKER, AUDITORIUM, G16, CEILING, ER401, DMX065, 4, 17
DMX066, SX855A, SPEAKER (ARRAY), AUDITORIUM, G16, CEILING, ER401, DMX066, 4, 18
DMX067, SX855A, SPEAKER (ARRAY), AUDITORIUM, G16, CEILING, ER401, DMX067, 4, 19
DMX068, SX855A, SPEAKER (ARRAY), AUDITORIUM, G16, CEILING, ER401, DMX068, 4, 20
