CableId, Panel Id, Description, Location, Room, Affl, Dest Rack Id, CableId, Qty, Keystone
MF001, ER211, EQUIP RACK, CLOAK ROOM, G07, 0, ER401, MF001, 12, 1
MF002, ER211, EQUIP RACK, CLOAK ROOM, G07, 0, ER401, MF002, 12, 2
MF003, ER211, EQUIP RACK, CLOAK ROOM, G07, 0, ER401, MF003, 12, 3
MF004, ER211, EQUIP RACK, CLOAK ROOM, G07, 0, ER401, MF004, 12, 4
MF005, ER211, EQUIP RACK, CLOAK ROOM, G07, 0, ER401, MF005, 12, 5
MF006, ER211, EQUIP RACK, CLOAK ROOM, G07, 0, ER401, MF006, 12, 6
MF007, ER211, EQUIP RACK, CLOAK ROOM, G07, 0, ER401, MF007, 12, 7
MF008, ER211, EQUIP RACK, CLOAK ROOM, G07, 0, ER401, MF008, 12, 8
MF009, ER211, EQUIP RACK, CLOAK ROOM, G07, 0, ER401, MF009, 12, 9
MF010, ER211, EQUIP RACK, CLOAK ROOM, G07, 0, ER401, MF010, 12, 10
MF011, ER211, EQUIP RACK, CLOAK ROOM, G07, 0, ER401, MF011, 12, 11
MF012, ER211, EQUIP RACK, CLOAK ROOM, G07, 0, ER401, MF012, 12, 12
MF013, ER491, EQPT RACK, CONTROL ROOM, , 0, ER401, MF013, 12, 13
MF014, ER491, EQPT RACK, CONTROL ROOM, , 0, ER401, MF014, 12, 14
MF015, ER491, EQPT RACK, CONTROL ROOM, , 0, ER401, MF015, 12, 15
MF016, ER491, EQPT RACK, CONTROL ROOM, , 0, ER401, MF016, 12, 16
MF017, ER491, EQPT RACK, CONTROL ROOM, , 0, ER401, MF017, 12, 17
MF018, ER491, EQPT RACK, CONTROL ROOM, , 0, ER401, MF018, 12, 18
MF019, ER491, EQPT RACK, CONTROL ROOM, , 0, ER401, MF019, 12, 19
MF020, ER491, EQPT RACK, CONTROL ROOM, , 0, ER401, MF020, 12, 20
MF021, ER491, EQPT RACK, CONTROL ROOM, , 0, ER401, MF021, 12, 21
MF022, ER491, EQPT RACK, CONTROL ROOM, , 0, ER401, MF022, 12, 22
MF023, ER491, EQPT RACK, CONTROL ROOM, , 0, ER401, MF023, 12, 23
MF024, ER491, EQPT RACK, CONTROL ROOM, , 0, ER401, MF024, 12, 24
MF025, ER601, EQPT RACK, FURNITURE STORE, 209, 0, ER401, MF025, 12, 1
MF026, ER601, EQPT RACK, FURNITURE STORE, 209, 0, ER401, MF026, 12, 2
MF027, ER601, EQPT RACK, FURNITURE STORE, 209, 0, ER401, MF027, 12, 3
MF028, ER601, EQPT RACK, FURNITURE STORE, 209, 0, ER401, MF028, 12, 4
MF029, ER601, EQPT RACK, FURNITURE STORE, 209, 0, ER401, MF029, 12, 5
MF030, ER601, EQPT RACK, FURNITURE STORE, 209, 0, ER401, MF030, 12, 6
MF031, ER601, EQPT RACK, FURNITURE STORE, 209, 0, ER401, MF031, 12, 7
MF032, ER601, EQPT RACK, FURNITURE STORE, 209, 0, ER401, MF032, 12, 8
MF033, ER601, EQPT RACK, FURNITURE STORE, 209, 0, ER401, MF033, 12, 9
MF034, ER601, EQPT RACK, FURNITURE STORE, 209, 0, ER401, MF034, 12, 10
MF035, ER601, EQPT RACK, FURNITURE STORE, 209, 0, ER401, MF035, 12, 11
MF036, ER601, EQPT RACK, FURNITURE STORE, 209, 0, ER401, MF036, 12, 12
MF037, TP803, TECH PANEL, FLY GALLERY, , 300, ER401, MF037, 4, 13
MF038, TP803, TECH PANEL, FLY GALLERY, , 300, ER401, MF038, 4, 14
MF039, TP803, TECH PANEL, FLY GALLERY, , 300, ER401, MF039, 4, 15
MF040, TP803, TECH PANEL, FLY GALLERY, , 300, ER401, MF040, 4, 16
MF041, TP804, TECH PANEL, FLY GALLERY, , 300, ER401, MF041, 4, 17
MF042, TP804, TECH PANEL, FLY GALLERY, , 300, ER401, MF042, 4, 18
MF043, TP804, TECH PANEL, FLY GALLERY, , 300, ER401, MF043, 4, 19
MF044, TP804, TECH PANEL, FLY GALLERY, , 300, ER401, MF044, 4, 20
MF045, TP853, TECH PANEL, CABLE NET, , 300, ER401, MF045, 4, 21
MF046, TP853, TECH PANEL, CABLE NET, , 300, ER401, MF046, 4, 22
MF047, TP853, TECH PANEL, CABLE NET, , 300, ER401, MF047, 4, 23
MF048, TP853, TECH PANEL, CABLE NET, , 300, ER401, MF048, 4, 24
MF049, TP854, TECH PANEL, CABLE NET, , 300, ER401, MF049, 4, 1
MF050, TP854, TECH PANEL, CABLE NET, , 300, ER401, MF050, 4, 2
MF051, TP854, TECH PANEL, CABLE NET, , 300, ER401, MF051, 4, 3
MF052, TP854, TECH PANEL, CABLE NET, , 300, ER401, MF052, 4, 4
MF53, , SPARE, , , , , MF53, -1, 5
MF54, , SPARE, , , , , MF54, -1, 6
MF55, , SPARE, , , , , MF55, -1, 7
MF56, , SPARE, , , , , MF56, -1, 8
MF57, , SPARE, , , , , MF57, -1, 9
MF58, , SPARE, , , , , MF58, -1, 10
MF59, , SPARE, , , , , MF59, -1, 11
MF60, , SPARE, , , , , MF60, -1, 12
MF61, , SPARE, , , , , MF61, -1, 13
MF62, , SPARE, , , , , MF62, -1, 14
MF63, , SPARE, , , , , MF63, -1, 15
MF64, , SPARE, , , , , MF64, -1, 16
MF65, , SPARE, , , , , MF65, -1, 17
MF66, , SPARE, , , , , MF66, -1, 18
MF67, , SPARE, , , , , MF67, -1, 19
MF68, , SPARE, , , , , MF68, -1, 20
MF69, , SPARE, , , , , MF69, -1, 21
MF70, , SPARE, , , , , MF70, -1, 22
MF71, , SPARE, , , , , MF71, -1, 23
MF72, , SPARE, , , , , MF72, -1, 24
MF073, ER401, EQPT RACK, TECH ROOM, 117, 0, ER491, MF073, 12, 1
MF074, ER401, EQPT RACK, TECH ROOM, 117, 0, ER491, MF074, 12, 2
MF075, ER401, EQPT RACK, TECH ROOM, 117, 0, ER491, MF075, 12, 3
MF076, ER401, EQPT RACK, TECH ROOM, 117, 0, ER491, MF076, 12, 4
MF077, ER401, EQPT RACK, TECH ROOM, 117, 0, ER491, MF077, 12, 5
MF078, ER401, EQPT RACK, TECH ROOM, 117, 0, ER491, MF078, 12, 6
MF079, ER401, EQPT RACK, TECH ROOM, 117, 0, ER491, MF079, 12, 7
MF080, ER401, EQPT RACK, TECH ROOM, 117, 0, ER491, MF080, 12, 8
MF081, ER401, EQPT RACK, TECH ROOM, 117, 0, ER491, MF081, 12, 9
MF082, ER401, EQPT RACK, TECH ROOM, 117, 0, ER491, MF082, 12, 10
MF083, ER401, EQPT RACK, TECH ROOM, 117, 0, ER491, MF083, 12, 11
MF084, ER401, EQPT RACK, TECH ROOM, 117, 0, ER491, MF084, 12, 12
