CableId, Panel Id, Description, Location, Room, Affl, Dest Rack Id, CableId, Qty, Keystone
TB001, BS217, TECH PANEL, WORKSHOP G35, , 1200, ER491, TB001, 1, 1
TB002, BS218, TECH PANEL, SCENE DOCK G24, , 500, ER491, TB002, 1, 2
TB003, CR251, CONTROL FLOORBOX, AUDITORIUM, G16, 0, ER491, TB003, 3, 3
TB004, CR251, CONTROL FLOORBOX, AUDITORIUM, G16, 0, ER491, TB004, 3, 4
TB005, CR251, CONTROL FLOORBOX, AUDITORIUM, G16, 0, ER491, TB005, 3, 5
TB006, CR451, AUDITORIUM CONTROL, AUDITORIUM, G16, IN RISER, ER491, TB006, 3, 6
TB007, CR451, AUDITORIUM CONTROL, AUDITORIUM, G16, IN RISER, ER491, TB007, 3, 7
TB008, CR451, AUDITORIUM CONTROL, AUDITORIUM, G16, IN RISER, ER491, TB008, 3, 8
TB009, CR491, LIGHTING CONTROL, CONTROL ROOM, , 500, ER491, TB009, 1, 9
TB010, CR492, AUDIO CONTROL, CONTROL ROOM, , 500, ER491, TB010, 2, 10
TB011, CR492, AUDIO CONTROL, CONTROL ROOM, , 500, ER491, TB011, 2, 11
TB012, CR493, AV CONTROL, CONTROL ROOM, , 500, ER491, TB012, 1, 12
TB013, DIM601, DIMMER RACK, TECH, 220, 500, ER491, TB013, 1, 13
TB014, FS651, FOLLOW SPOT, LEVEL 2 BALCONY, , 150, ER491, TB014, 1, 14
TB015, FS652, FOLLOW SPOT, LEVEL 2 BALCONY, , 150, ER491, TB015, 1, 15
TB016, TP002, TECH PANEL, SUB STAGE, B01, 300, ER491, TB016, 1, 16
TB017, TP201A, TECH PANEL (SM Panel), PERF LOCK, G23, 300, ER491, TB017, 1, 17
TB018, TP202, TECH PANEL (SM Panel), STAGE, G15, 300, ER491, TB018, 1, 18
TB019, TP203, TECH PANEL, STAGE, G15, 300, ER491, TB019, 1, 19
TB020, TP204, TECH PANEL, STAGE, G15, 300, ER491, TB020, 1, 20
TB021, TP251, TECH PANEL, FORESTAGE, B02, 300, ER491, TB021, 2, 21
TB022, TP251, TECH PANEL, FORESTAGE, B02, 300, ER491, TB022, 2, 22
TB023, TP252, TECH PANEL, FORESTAGE, B02, 300, ER491, TB023, 2, 23
TB024, TP252, TECH PANEL, FORESTAGE, B02, 300, ER491, TB024, 2, 24
TB025, TP601, TECH PANEL, TECH (GALLERY), 218, 300, ER491, TB025, 1, 1
TB026, TP602, TECH PANEL, TECH (GALLERY), 219, 300, ER491, TB026, 1, 2
TB027, TP603, TECH PANEL, TECH (GALLERY), 218, 300, ER491, TB027, 1, 3
TB028, TP604, TECH PANEL, TECH (GALLERY), 219, 300, ER491, TB028, 1, 4
TB029, TP801, TECH PANEL, FLY GALLERY, , 300, ER491, TB029, 1, 5
TB030, TP802, TECH PANEL, FLY GALLERY, , 300, ER491, TB030, 1, 6
TB031, TP803, TECH PANEL, FLY GALLERY, , 300, ER491, TB031, 1, 7
TB032, TP804, TECH PANEL, FLY GALLERY, , 300, ER491, TB032, 1, 8
TB033, TP851, TECH PANEL, CABLE NET, , 300, ER491, TB033, 1, 9
TB034, TP852, TECH PANEL, CABLE NET, , 300, ER491, TB034, 1, 10
TB035, TP853, TECH PANEL, CABLE NET, , 300, ER491, TB035, 1, 11
TB036, TP854, TECH PANEL, CABLE NET, , 300, ER491, TB036, 1, 12
TB37, , SPARE, , , , , TB37, -1, 13
TB38, , SPARE, , , , , TB38, -1, 14
TB39, , SPARE, , , , , TB39, -1, 15
TB40, , SPARE, , , , , TB40, -1, 16
TB41, , SPARE, , , , , TB41, -1, 17
TB42, , SPARE, , , , , TB42, -1, 18
TB43, , SPARE, , , , , TB43, -1, 19
TB44, , SPARE, , , , , TB44, -1, 20
TB45, , SPARE, , , , , TB45, -1, 21
TB46, , SPARE, , , , , TB46, -1, 22
TB47, , SPARE, , , , , TB47, -1, 23
TB48, , SPARE, , , , , TB48, -1, 24
TB049, CN611, TECH PANEL, CONFERENCE 1, 206, 300, EN601, TB049, 1, 1
TB050, CN612, TECH PANEL/FLOOR BOX, CONFERENCE 1, 206, 0, EN601, TB050, 1, 2
TB051, CN661, TECH PANEL/FLOOR BOX, CONFERENCE 2, 205, 0, EN601, TB051, 1, 3
TB052, CN662, TECH PANEL/FLOOR BOX, CONFERENCE 2, 205, 0, EN601, TB052, 1, 4
TB53, , SPARE, , , , , TB53, -1, 5
TB54, , SPARE, , , , , TB54, -1, 6
TB55, , SPARE, , , , , TB55, -1, 7
TB56, , SPARE, , , , , TB56, -1, 8
TB57, , SPARE, , , , , TB57, -1, 9
TB58, , SPARE, , , , , TB58, -1, 10
TB59, , SPARE, , , , , TB59, -1, 11
TB60, , SPARE, , , , , TB60, -1, 12
TB61, , SPARE, , , , , TB61, -1, 13
TB62, , SPARE, , , , , TB62, -1, 14
TB63, , SPARE, , , , , TB63, -1, 15
TB64, , SPARE, , , , , TB64, -1, 16
TB65, , SPARE, , , , , TB65, -1, 17
TB66, , SPARE, , , , , TB66, -1, 18
TB67, , SPARE, , , , , TB67, -1, 19
TB68, , SPARE, , , , , TB68, -1, 20
TB69, , SPARE, , , , , TB69, -1, 21
TB70, , SPARE, , , , , TB70, -1, 22
TB71, , SPARE, , , , , TB71, -1, 23
TB72, , SPARE, , , , , TB72, -1, 24
TB073, DIM602, DIMMER RACK, FURNITURE STORE, 209, REF DWG, ER601, TB073, 1, 1
TB74, , SPARE, , , , , TB74, -1, 2
TB75, , SPARE, , , , , TB75, -1, 3
TB76, , SPARE, , , , , TB76, -1, 4
TB77, , SPARE, , , , , TB77, -1, 5
TB78, , SPARE, , , , , TB78, -1, 6
TB79, , SPARE, , , , , TB79, -1, 7
TB80, , SPARE, , , , , TB80, -1, 8
TB81, , SPARE, , , , , TB81, -1, 9
TB82, , SPARE, , , , , TB82, -1, 10
TB83, , SPARE, , , , , TB83, -1, 11
TB84, , SPARE, , , , , TB84, -1, 12
TB85, , SPARE, , , , , TB85, -1, 13
TB86, , SPARE, , , , , TB86, -1, 14
TB87, , SPARE, , , , , TB87, -1, 15
TB88, , SPARE, , , , , TB88, -1, 16
TB89, , SPARE, , , , , TB89, -1, 17
TB90, , SPARE, , , , , TB90, -1, 18
TB91, , SPARE, , , , , TB91, -1, 19
TB92, , SPARE, , , , , TB92, -1, 20
