           Id         Description                  Location                     Room          Affl          Panel Id         Dest Rack Id   SystemType   
Cable:     TB001      D: TECH PANEL                L: WORKSHOP G35              R:            A: 1200       FROM: BS217      TO: ER491      SYS: TALKBACK   C: <cable typ
Cable:     TB002      D: TECH PANEL                L: SCENE DOCK G24            R:            A: 500        FROM: BS218      TO: ER491      SYS: TALKBACK   C: <cable typ
Cable:     TB003      D: CONTROL FLOORBOX          L: AUDITORIUM                R: G16        A: 0          FROM: CR251      TO: ER491      SYS: TALKBACK   C: <cable typ
Cable:     TB004      D: CONTROL FLOORBOX          L: AUDITORIUM                R: G16        A: 0          FROM: CR251      TO: ER491      SYS: TALKBACK   C: <cable typ
Cable:     TB005      D: CONTROL FLOORBOX          L: AUDITORIUM                R: G16        A: 0          FROM: CR251      TO: ER491      SYS: TALKBACK   C: <cable typ
Cable:     TB006      D: AUDITORIUM CONTROL        L: AUDITORIUM                R: G16        A: IN RISER   FROM: CR451      TO: ER491      SYS: TALKBACK   C: <cable typ
Cable:     TB007      D: AUDITORIUM CONTROL        L: AUDITORIUM                R: G16        A: IN RISER   FROM: CR451      TO: ER491      SYS: TALKBACK   C: <cable typ
Cable:     TB008      D: AUDITORIUM CONTROL        L: AUDITORIUM                R: G16        A: IN RISER   FROM: CR451      TO: ER491      SYS: TALKBACK   C: <cable typ
Cable:     TB009      D: LIGHTING CONTROL          L: CONTROL ROOM              R:            A: 500        FROM: CR491      TO: ER491      SYS: TALKBACK   C: <cable typ
Cable:     TB010      D: AUDIO CONTROL             L: CONTROL ROOM              R:            A: 500        FROM: CR492      TO: ER491      SYS: TALKBACK   C: <cable typ
Cable:     TB011      D: AUDIO CONTROL             L: CONTROL ROOM              R:            A: 500        FROM: CR492      TO: ER491      SYS: TALKBACK   C: <cable typ
Cable:     TB012      D: AV CONTROL                L: CONTROL ROOM              R:            A: 500        FROM: CR493      TO: ER491      SYS: TALKBACK   C: <cable typ
Cable:     TB013      D: DIMMER RACK               L: TECH                      R: 220        A: 500        FROM: DIM601     TO: ER491      SYS: TALKBACK   C: <cable typ
Cable:     TB014      D: FOLLOW SPOT               L: LEVEL 2 BALCONY           R:            A: 150        FROM: FS651      TO: ER491      SYS: TALKBACK   C: <cable typ
Cable:     TB015      D: FOLLOW SPOT               L: LEVEL 2 BALCONY           R:            A: 150        FROM: FS652      TO: ER491      SYS: TALKBACK   C: <cable typ
Cable:     TB016      D: TECH PANEL                L: SUB STAGE                 R: B01        A: 300        FROM: TP002      TO: ER491      SYS: TALKBACK   C: <cable typ
Cable:     TB017      D: TECH PANEL (SM Panel)     L: PERF LOCK                 R: G23        A: 300        FROM: TP201A     TO: ER491      SYS: TALKBACK   C: <cable typ
Cable:     TB018      D: TECH PANEL (SM Panel)     L: STAGE                     R: G15        A: 300        FROM: TP202      TO: ER491      SYS: TALKBACK   C: <cable typ
Cable:     TB019      D: TECH PANEL                L: STAGE                     R: G15        A: 300        FROM: TP203      TO: ER491      SYS: TALKBACK   C: <cable typ
