CableId, Panel Id, Description, Location, Room, Affl, Dest Rack Id, CableId, Qty, Keystone
TD001, AV202, AVCONTROL PANEL, STAGE, G15, 1100, ER401, TD001, 1, 1
TD002, AV451, PROJECTOR, AUDITORIUM, G16, SOFFIT, ER401, TD002, 1, 2
TD003, AV651, SHOW RELAY CAMERA, AUDITORIUM, G16, ON BAR, ER401, TD003, 1, 3
TD004, BS217, TECH PANEL, WORKSHOP G35, , 1200, ER401, TD004, 6, 4
TD005, BS217, TECH PANEL, WORKSHOP G35, , 1200, ER401, TD005, 6, 5
TD006, BS217, TECH PANEL, WORKSHOP G35, , 1200, ER401, TD006, 6, 6
TD007, BS217, TECH PANEL, WORKSHOP G35, , 1200, ER401, TD007, 6, 7
TD008, BS217, TECH PANEL, WORKSHOP G35, , 1200, ER401, TD008, 6, 8
TD009, BS217, TECH PANEL, WORKSHOP G35, , 1200, ER401, TD009, 6, 9
TD010, BS218, TECH PANEL, SCENE DOCK G24, , 500, ER401, TD010, 4, 10
TD011, BS218, TECH PANEL, SCENE DOCK G24, , 500, ER401, TD011, 4, 11
TD012, BS218, TECH PANEL, SCENE DOCK G24, , 500, ER401, TD012, 4, 12
TD013, BS218, TECH PANEL, SCENE DOCK G24, , 500, ER401, TD013, 4, 13
TD014, DIM601, DIMMER RACK, TECH, 220, 500, ER401, TD014, 2, 14
TD015, DIM601, DIMMER RACK, TECH, 220, 500, ER401, TD015, 2, 15
TD016, ER211, EQUIP RACK, CLOAK ROOM, G07, 0, ER401, TD016, 5, 16
TD017, ER211, EQUIP RACK, CLOAK ROOM, G07, 0, ER401, TD017, 5, 17
TD018, ER211, EQUIP RACK, CLOAK ROOM, G07, 0, ER401, TD018, 5, 18
TD019, ER211, EQUIP RACK, CLOAK ROOM, G07, 0, ER401, TD019, 5, 19
TD020, ER211, EQUIP RACK, CLOAK ROOM, G07, 0, ER401, TD020, 5, 20
TD021, ER491, EQPT RACK, CONTROL ROOM, , 0, ER401, TD021, 10, 21
TD022, ER491, EQPT RACK, CONTROL ROOM, , 0, ER401, TD022, 10, 22
TD023, ER491, EQPT RACK, CONTROL ROOM, , 0, ER401, TD023, 10, 23
TD024, ER491, EQPT RACK, CONTROL ROOM, , 0, ER401, TD024, 10, 24
TD025, ER491, EQPT RACK, CONTROL ROOM, , 0, ER401, TD025, 10, 1
TD026, ER491, EQPT RACK, CONTROL ROOM, , 0, ER401, TD026, 10, 2
TD027, ER491, EQPT RACK, CONTROL ROOM, , 0, ER401, TD027, 10, 3
TD028, ER491, EQPT RACK, CONTROL ROOM, , 0, ER401, TD028, 10, 4
TD029, ER491, EQPT RACK, CONTROL ROOM, , 0, ER401, TD029, 10, 5
TD030, ER491, EQPT RACK, CONTROL ROOM, , 0, ER401, TD030, 10, 6
TD031, FB201, FLOORBOXES, STAGE, G15, 0, ER401, TD031, 2, 7
TD032, FB201, FLOORBOXES, STAGE, G15, 0, ER401, TD032, 2, 8
TD033, FB202, FLOORBOXES, STAGE, G15, 0, ER401, TD033, 2, 9
TD034, FB202, FLOORBOXES, STAGE, G15, 0, ER401, TD034, 2, 10
