           Id         Description                  Location                     Room          Affl          Panel Id         Dest Rack Id   SystemType   
Cable:     TD001      D: AVCONTROL PANEL           L: STAGE                     R: G15        A: 1100       FROM: AV202      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD002      D: PROJECTOR                 L: AUDITORIUM                R: G16        A: SOFFIT     FROM: AV451      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD003      D: SHOW RELAY CAMERA         L: AUDITORIUM                R: G16        A: ON BAR     FROM: AV651      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD004      D: TECH PANEL                L: WORKSHOP G35              R:            A: 1200       FROM: BS217      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD005      D: TECH PANEL                L: WORKSHOP G35              R:            A: 1200       FROM: BS217      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD006      D: TECH PANEL                L: WORKSHOP G35              R:            A: 1200       FROM: BS217      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD007      D: TECH PANEL                L: WORKSHOP G35              R:            A: 1200       FROM: BS217      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD008      D: TECH PANEL                L: WORKSHOP G35              R:            A: 1200       FROM: BS217      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD009      D: TECH PANEL                L: WORKSHOP G35              R:            A: 1200       FROM: BS217      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD010      D: TECH PANEL                L: SCENE DOCK G24            R:            A: 500        FROM: BS218      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD011      D: TECH PANEL                L: SCENE DOCK G24            R:            A: 500        FROM: BS218      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD012      D: TECH PANEL                L: SCENE DOCK G24            R:            A: 500        FROM: BS218      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD013      D: TECH PANEL                L: SCENE DOCK G24            R:            A: 500        FROM: BS218      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD014      D: DIMMER RACK               L: TECH                      R: 220        A: 500        FROM: DIM601     TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD015      D: DIMMER RACK               L: TECH                      R: 220        A: 500        FROM: DIM601     TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD016      D: EQUIP RACK                L: CLOAK ROOM                R: G07        A: 0          FROM: ER211      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD017      D: EQUIP RACK                L: CLOAK ROOM                R: G07        A: 0          FROM: ER211      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD018      D: EQUIP RACK                L: CLOAK ROOM                R: G07        A: 0          FROM: ER211      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD019      D: EQUIP RACK                L: CLOAK ROOM                R: G07        A: 0          FROM: ER211      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD020      D: EQUIP RACK                L: CLOAK ROOM                R: G07        A: 0          FROM: ER211      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD021      D: EQPT RACK                 L: CONTROL ROOM              R:            A: 0          FROM: ER491      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD022      D: EQPT RACK                 L: CONTROL ROOM              R:            A: 0          FROM: ER491      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD023      D: EQPT RACK                 L: CONTROL ROOM              R:            A: 0          FROM: ER491      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD024      D: EQPT RACK                 L: CONTROL ROOM              R:            A: 0          FROM: ER491      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD025      D: EQPT RACK                 L: CONTROL ROOM              R:            A: 0          FROM: ER491      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD026      D: EQPT RACK                 L: CONTROL ROOM              R:            A: 0          FROM: ER491      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD027      D: EQPT RACK                 L: CONTROL ROOM              R:            A: 0          FROM: ER491      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD028      D: EQPT RACK                 L: CONTROL ROOM              R:            A: 0          FROM: ER491      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD029      D: EQPT RACK                 L: CONTROL ROOM              R:            A: 0          FROM: ER491      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD030      D: EQPT RACK                 L: CONTROL ROOM              R:            A: 0          FROM: ER491      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD031      D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB201      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD032      D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB201      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD033      D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB202      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD034      D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB202      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD035      D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB203      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD036      D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB203      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD037      D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB204      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD038      D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB204      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD039      D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB205      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD040      D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB205      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD041      D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB206      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD042      D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB206      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD043      D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB207      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD044      D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB207      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD045      D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB208      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD046      D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB208      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD047      D: FLOORBOXES                L: AUDITORIUM                R: G16        A: 0          FROM: FB251      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD048      D: FLOORBOXES                L: AUDITORIUM                R: G16        A: 0          FROM: FB251      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD049      D: FLOORBOXES                L: AUDITORIUM                R: G16        A: 0          FROM: FB252      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD050      D: FLOORBOXES                L: AUDITORIUM                R: G16        A: 0          FROM: FB252      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD051      D: FLOORBOXES                L: AUDITORIUM                R: G16        A: 0          FROM: FB253      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD052      D: FLOORBOXES                L: AUDITORIUM                R: G16        A: 0          FROM: FB253      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD053      D: FLOORBOXES                L: AUDITORIUM                R: G16        A: 0          FROM: FB254      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD054      D: FLOORBOXES                L: AUDITORIUM                R: G16        A: 0          FROM: FB254      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD055      D: FLOORBOXES                L: AUDITORIUM                R: G16        A: 0          FROM: FB255      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD056      D: FLOORBOXES                L: AUDITORIUM                R: G16        A: 0          FROM: FB255      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD057      D: FLOORBOXES                L: AUDITORIUM                R: G16        A: 0          FROM: FB256      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD058      D: FLOORBOXES                L: AUDITORIUM                R: G16        A: 0          FROM: FB256      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD059      D: FLOORBOXES                L: AUDITORIUM                R: G16        A: 0          FROM: FB257      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD060      D: FLOORBOXES                L: AUDITORIUM                R: G16        A: 0          FROM: FB257      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD061      D: FLOORBOXES                L: AUDITORIUM                R: G16        A: 0          FROM: FB258      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD062      D: FLOORBOXES                L: AUDITORIUM                R: G16        A: 0          FROM: FB258      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD063      D: FLOORBOXES                L: AUDITORIUM                R: G16        A: 0          FROM: FB259      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD064      D: FLOORBOXES                L: AUDITORIUM                R: G16        A: 0          FROM: FB259      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD065      D: FOLLOW SPOT               L: LEVEL 2 BALCONY           R:            A: 150        FROM: FS651      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD066      D: FOLLOW SPOT               L: LEVEL 2 BALCONY           R:            A: 150        FROM: FS652      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD067      D: TECH PANEL/FLOOR BOX      L: FUNCTION/FOYER            R: G01        A: 0          FROM: FY201      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD068      D: TECH PANEL/FLOOR BOX      L: FUNCTION/FOYER            R: G01        A: 0          FROM: FY201      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD069      D: TECH PANEL                L: FUNCTION/FOYER            R: G01        A: 300        FROM: FY202      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD070      D: TECH PANEL                L: FUNCTION/FOYER            R: G01        A: 300        FROM: FY202      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD071      D: TECH PANEL/FLOOR BOX      L: FUNCTION/FOYER            R: G01        A: 0          FROM: FY211      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD072      D: TECH PANEL/FLOOR BOX      L: FUNCTION/FOYER            R: G01        A: 0          FROM: FY211      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD073      D: SCREEN                    L: FUNCTION/FOYER            R: G01        A: 2200       FROM: FY226      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD074      D: TECH PANEL/FLOOR BOX      L: FOYER                     R: 113        A: 0          FROM: FY401      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD075      D: TECH PANEL/FLOOR BOX      L: FOYER                     R: 113        A: 0          FROM: FY401      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD076      D: SCREEN                    L: FOYER                     R: 113        A: 2200       FROM: FY421      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD077      D: SCREEN                    L: FOYER                     R: 113        A: 2200       FROM: FY422      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD078      D: SCREEN                    L: FOYER                     R: 207        A: 2200       FROM: FY621      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD079      D: SCREEN                    L: FOYER                     R: 207        A: 2200       FROM: FY622      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD080      D: LX BALCONY BAR            L: AUDITORIUM                R: G16        A: ON BAR     FROM: LX451      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD081      D: LX BALCONY BAR            L: AUDITORIUM                R: G16        A: ON BAR     FROM: LX451      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD082      D: LX BALCONY BAR            L: AUDITORIUM                R: G16        A: ON BAR     FROM: LX452      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD083      D: LX BALCONY BAR            L: AUDITORIUM                R: G16        A: ON BAR     FROM: LX452      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD084      D: LX BALCONY BAR            L: AUDITORIUM                R: G16        A: ON BAR     FROM: LX453      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD085      D: LX BALCONY BAR            L: AUDITORIUM                R: G16        A: ON BAR     FROM: LX453      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD086      D: LX BALCONY BAR            L: AUDITORIUM                R: G16        A: ON BAR     FROM: LX454      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD087      D: LX BALCONY BAR            L: AUDITORIUM                R: G16        A: ON BAR     FROM: LX454      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD088      D: LX BALCONY BAR            L: LEVEL 2 BALCONY           R:            A: ON BAR     FROM: LX651      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD089      D: LX BALCONY BAR            L: LEVEL 2 BALCONY           R:            A: ON BAR     FROM: LX651      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD090      D: LX BALCONY BAR            L: LEVEL 2 BALCONY           R:            A: ON BAR     FROM: LX652      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD091      D: LX BALCONY BAR            L: LEVEL 2 BALCONY           R:            A: ON BAR     FROM: LX652      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD092      D: LX BALCONY BAR            L: LEVEL 2 BALCONY           R:            A: ON BAR     FROM: LX653      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD093      D: LX BALCONY BAR            L: LEVEL 2 BALCONY           R:            A: ON BAR     FROM: LX653      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD094      D: LX BALCONY BAR            L: LEVEL 2 BALCONY           R:            A: ON BAR     FROM: LX654      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD095      D: LX BALCONY BAR            L: LEVEL 2 BALCONY           R:            A: ON BAR     FROM: LX654      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD096      D: LX BALCONY BAR            L: LEVEL 2 BALCONY           R:            A: ON BAR     FROM: LX655      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD097      D: LX BALCONY BAR            L: LEVEL 2 BALCONY           R:            A: ON BAR     FROM: LX655      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD098      D: LX BALCONY BAR            L: LEVEL 2 BALCONY           R:            A: ON BAR     FROM: LX656      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD099      D: LX BALCONY BAR            L: LEVEL 2 BALCONY           R:            A: ON BAR     FROM: LX656      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD100      D: LX BAR                    L: STAGE                     R: G15        A: CEILING    FROM: LX801      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD101      D: LX BAR                    L: STAGE                     R: G15        A: CEILING    FROM: LX801      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD102      D: LX BAR                    L: STAGE                     R: G15        A: CEILING    FROM: LX801      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD103      D: LX BAR                    L: STAGE                     R: G15        A: CEILING    FROM: LX802      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD104      D: LX BAR                    L: STAGE                     R: G15        A: CEILING    FROM: LX802      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
