           Id         Description                  Location                     Room          Affl          SourcePanelId DestinationPanelId CableType    
Cable:     TD001      D: AVCONTROL PANEL           L: STAGE                     R: G15        A: 1100       FROM: AV202      TO: ER401      C: <cable typ
Cable:     TD025      D: PROJECTOR                 L: AUDITORIUM                R: G16        A: SOFFIT     FROM: AV451      TO: ER401      C: <cable typ
Cable:     DM001      D: PROJECTOR                 L: AUDITORIUM                R: G16        A: SOFFIT     FROM: AV451      TO: ER401      C: <cable typ
Cable:     DM002      D: PROJECTOR                 L: AUDITORIUM                R: G16        A: SOFFIT     FROM: AV451      TO: ER401      C: <cable typ
Cable:     TD049      D: SHOW RELAY CAMERA         L: AUDITORIUM                R: G16        A: ON BAR     FROM: AV651      TO: ER401      C: <cable typ
Cable:     DM025      D: SHOW RELAY CAMERA         L: AUDITORIUM                R: G16        A: ON BAR     FROM: AV651      TO: ER401      C: <cable typ
Cable:     DM049      D: SCREEN                    L: PRINC. DR. RM. 1          R: G26        A: 2000       FROM: BS201      TO: ER401      C: <cable typ
Cable:     DM073      D: SCREEN                    L: MULTI-PURPOSE RM/GREEG32  R:            A: 2000       FROM: BS203      TO: ER401      C: <cable typ
Cable:     DM097      D: SCREEN                    L: DR. RM. G39               R:            A: 2000       FROM: BS205      TO: ER401      C: <cable typ
Cable:     DM121      D: SCREEN                    L: DR. RM. G29               R:            A: 2000       FROM: BS207      TO: ER401      C: <cable typ
Cable:     DM145      D: SCREEN                    L: PRINC. DR. RM. 2 G20      R:            A: 2000       FROM: BS209      TO: ER401      C: <cable typ
Cable:     DM169      D: SCREEN                    L: STAGE DOOR G41            R:            A: 2000       FROM: BS211      TO: ER401      C: <cable typ
Cable:     DM193      D: SCREEN                    L: LOBBY G44                 R:            A: 2000       FROM: BS213      TO: ER401      C: <cable typ
Cable:     DM217      D: SCREEN                    L: SCENE DOCK G24            R:            A: 2500       FROM: BS214      TO: ER401      C: <cable typ
Cable:     DM241      D: SCREEN                    L: WORKSHOP G35              R:            A: 2000       FROM: BS215      TO: ER401      C: <cable typ
Cable:     TD073      D: TECH PANEL                L: WORKSHOP G35              R:            A: 1200       FROM: BS217      TO: ER401      C: <cable typ
Cable:     TD074      D: TECH PANEL                L: WORKSHOP G35              R:            A: 1200       FROM: BS217      TO: ER401      C: <cable typ
Cable:     TD075      D: TECH PANEL                L: WORKSHOP G35              R:            A: 1200       FROM: BS217      TO: ER401      C: <cable typ
Cable:     TD076      D: TECH PANEL                L: WORKSHOP G35              R:            A: 1200       FROM: BS217      TO: ER401      C: <cable typ
Cable:     TD077      D: TECH PANEL                L: WORKSHOP G35              R:            A: 1200       FROM: BS217      TO: ER401      C: <cable typ
Cable:     TD078      D: TECH PANEL                L: WORKSHOP G35              R:            A: 1200       FROM: BS217      TO: ER401      C: <cable typ
Cable:     DM265      D: TECH PANEL                L: WORKSHOP G35              R:            A: 1200       FROM: BS217      TO: ER401      C: <cable typ
Cable:     DM266      D: TECH PANEL                L: WORKSHOP G35              R:            A: 1200       FROM: BS217      TO: ER401      C: <cable typ
Cable:     TD097      D: TECH PANEL                L: SCENE DOCK G24            R:            A: 500        FROM: BS218      TO: ER401      C: <cable typ
Cable:     TD098      D: TECH PANEL                L: SCENE DOCK G24            R:            A: 500        FROM: BS218      TO: ER401      C: <cable typ
Cable:     TD099      D: TECH PANEL                L: SCENE DOCK G24            R:            A: 500        FROM: BS218      TO: ER401      C: <cable typ
Cable:     TD100      D: TECH PANEL                L: SCENE DOCK G24            R:            A: 500        FROM: BS218      TO: ER401      C: <cable typ
Cable:     DM289      D: TECH PANEL                L: SCENE DOCK G24            R:            A: 500        FROM: BS218      TO: ER401      C: <cable typ
Cable:     DM290      D: TECH PANEL                L: SCENE DOCK G24            R:            A: 500        FROM: BS218      TO: ER401      C: <cable typ
Cable:     DM313      D: SCREEN                    L: VENUE MAN. OFFICE 102     R:            A: 2000       FROM: BS401      TO: ER401      C: <cable typ
Cable:     TD121      D: AV CONTROL                L: CONFERENCE 1              R: 206        A: 1100       FROM: CN601      TO: ER601      C: <cable typ
Cable:     TD145      D: TECH PANEL                L: CONFERENCE 1              R: 206        A: 300        FROM: CN611      TO: EN601      C: <cable typ
Cable:     TD146      D: TECH PANEL                L: CONFERENCE 1              R: 206        A: 300        FROM: CN611      TO: EN601      C: <cable typ
Cable:     TD147      D: TECH PANEL                L: CONFERENCE 1              R: 206        A: 300        FROM: CN611      TO: EN601      C: <cable typ
Cable:     TD148      D: TECH PANEL                L: CONFERENCE 1              R: 206        A: 300        FROM: CN611      TO: EN601      C: <cable typ
Cable:     DM337      D: TECH PANEL                L: CONFERENCE 1              R: 206        A: 300        FROM: CN611      TO: EN601      C: <cable typ
Cable:     DM338      D: TECH PANEL                L: CONFERENCE 1              R: 206        A: 300        FROM: CN611      TO: EN601      C: <cable typ
Cable:     DM339      D: TECH PANEL                L: CONFERENCE 1              R: 206        A: 300        FROM: CN611      TO: EN601      C: <cable typ
Cable:     DM340      D: TECH PANEL                L: CONFERENCE 1              R: 206        A: 300        FROM: CN611      TO: EN601      C: <cable typ
