CableId, Panel Id, Description, Location, Room, Affl, Dest Rack Id, CableId, Qty, SystemType
TD001, AV202, AVCONTROL PANEL, STAGE, G15, 1100, ER401, TD001, 1, TECHNICAL_DATA
TD002, AV451, PROJECTOR, AUDITORIUM, G16, SOFFIT, ER401, TD002, 1, TECHNICAL_DATA
TD003, AV651, SHOW RELAY CAMERA, AUDITORIUM, G16, ON BAR, ER401, TD003, 1, TECHNICAL_DATA
TD004, BS217, TECH PANEL, WORKSHOP G35, , 1200, ER401, TD004, 6, TECHNICAL_DATA
TD005, BS217, TECH PANEL, WORKSHOP G35, , 1200, ER401, TD005, 6, TECHNICAL_DATA
TD006, BS217, TECH PANEL, WORKSHOP G35, , 1200, ER401, TD006, 6, TECHNICAL_DATA
TD007, BS217, TECH PANEL, WORKSHOP G35, , 1200, ER401, TD007, 6, TECHNICAL_DATA
TD008, BS217, TECH PANEL, WORKSHOP G35, , 1200, ER401, TD008, 6, TECHNICAL_DATA
TD009, BS217, TECH PANEL, WORKSHOP G35, , 1200, ER401, TD009, 6, TECHNICAL_DATA
TD010, BS218, TECH PANEL, SCENE DOCK G24, , 500, ER401, TD010, 4, TECHNICAL_DATA
TD011, BS218, TECH PANEL, SCENE DOCK G24, , 500, ER401, TD011, 4, TECHNICAL_DATA
TD012, BS218, TECH PANEL, SCENE DOCK G24, , 500, ER401, TD012, 4, TECHNICAL_DATA
TD013, BS218, TECH PANEL, SCENE DOCK G24, , 500, ER401, TD013, 4, TECHNICAL_DATA
TD014, DIM601, DIMMER RACK, TECH, 220, 500, ER401, TD014, 2, TECHNICAL_DATA
TD015, DIM601, DIMMER RACK, TECH, 220, 500, ER401, TD015, 2, TECHNICAL_DATA
TD016, ER211, EQUIP RACK, CLOAK ROOM, G07, 0, ER401, TD016, 5, TECHNICAL_DATA
TD017, ER211, EQUIP RACK, CLOAK ROOM, G07, 0, ER401, TD017, 5, TECHNICAL_DATA
